Date,Quantity
01/04/2022,  81 
02/04/2022,  52 
03/04/2022,  70 
04/04/2022,  146 
05/04/2022,  77 
06/04/2022,  128 
07/04/2022,  131 
08/04/2022,  64 
09/04/2022,  78 
10/04/2022,  71 
11/04/2022,  79 
12/04/2022,  89 
13/04/2022,  118 
14/04/2022,  126 
15/04/2022,  120 
16/04/2022,  79 
17/04/2022,  82 
18/04/2022,  76 
19/04/2022,  88 
20/04/2022,  166 
21/04/2022,  199 
22/04/2022,  102 
23/04/2022,  146 
24/04/2022,  104 
25/04/2022,  156 
26/04/2022,  149 
27/04/2022,  77 
28/04/2022,  141 
29/04/2022,  195 
30/04/2022,  267 
01/05/2022,  204 
02/05/2022,  131 
03/05/2022,  112 
04/05/2022,  152 
05/05/2022,  190 
06/05/2022,  165 
07/05/2022,  214 
08/05/2022,  202 
09/05/2022,  88 
10/05/2022,  175 
11/05/2022,  179 
12/05/2022,  197 
13/05/2022,  119 
14/05/2022,  127 
15/05/2022,  144 
16/05/2022,  154 
17/05/2022,  94 
18/05/2022,  190 
19/05/2022,  210 
20/05/2022,  199 
21/05/2022,  210 
22/05/2022,  109 
23/05/2022,  93 
24/05/2022,  191 
25/05/2022,  122 
26/05/2022,  78 
27/05/2022,  80 
28/05/2022,  93 
29/05/2022,  81 
30/05/2022,  132 
31/05/2022,  144 
01/06/2022,  122 
02/06/2022,  138 
03/06/2022,  167 
04/06/2022,  163 
05/06/2022,  124 
06/06/2022,  134 
07/06/2022,  156 
08/06/2022,  195 
09/06/2022,  131 
10/06/2022,  141 
11/06/2022,  111 
12/06/2022,  107 
13/06/2022,  75 
14/06/2022,  113 
15/06/2022,  195 
16/06/2022,  105 
17/06/2022,  128 
18/06/2022,  143 
19/06/2022,  103 
20/06/2022,  196 
21/06/2022,  135 
22/06/2022,  181 
23/06/2022,  187 
24/06/2022,  130 
25/06/2022,  89 
26/06/2022,  85 
27/06/2022,  77 
28/06/2022,  92 
29/06/2022,  122 
30/06/2022,  102 
01/07/2022,  167 
02/07/2022,  190 
03/07/2022,  181 
04/07/2022,  104 
05/07/2022,  80 
06/07/2022,  100 
07/07/2022,  98 
08/07/2022,  177 
09/07/2022,  191 
10/07/2022,  109 
11/07/2022,  77 
12/07/2022,  82 
13/07/2022,  118 
14/07/2022,  100 
15/07/2022,  181 
16/07/2022,  185 
17/07/2022,  196 
18/07/2022,  119 
19/07/2022,  151 
20/07/2022,  193 
21/07/2022,  99 
22/07/2022,  101 
23/07/2022,  209 
24/07/2022,  178 
25/07/2022,  174 
26/07/2022,  106 
27/07/2022,  184 
28/07/2022,  187 
29/07/2022,  144 
30/07/2022,  105 
31/07/2022,  177 
01/08/2022,  101 
02/08/2022,  145 
03/08/2022,  114 
04/08/2022,  161 
05/08/2022,  130 
06/08/2022,  202 
07/08/2022,  237 
08/08/2022,  263 
09/08/2022,  261 
10/08/2022,  99 
11/08/2022,  115 
12/08/2022,  123 
13/08/2022,  199 
14/08/2022,  239 
15/08/2022,  212 
16/08/2022,  250 
17/08/2022,  195 
18/08/2022,  220 
19/08/2022,  184 
20/08/2022,  241 
21/08/2022,  215 
22/08/2022,  255 
23/08/2022,  202 
24/08/2022,  189 
25/08/2022,  170 
26/08/2022,  146 
27/08/2022,  190 
28/08/2022,  230 
29/08/2022,  250 
30/08/2022,  144 
31/08/2022,  174 
01/09/2022,  168 
02/09/2022,  225 
03/09/2022,  135 
04/09/2022,  145 
05/09/2022,  192 
06/09/2022,  151 
07/09/2022,  203 
08/09/2022,  120 
09/09/2022,  157 
10/09/2022,  108 
11/09/2022,  174 
12/09/2022,  171 
13/09/2022,  201 
14/09/2022,  193 
15/09/2022,  115 
16/09/2022,  234 
17/09/2022,  129 
18/09/2022,  133 
19/09/2022,  129 
20/09/2022,  87 
21/09/2022,  183 
22/09/2022,  187 
23/09/2022,  122 
24/09/2022,  161 
25/09/2022,  165 
26/09/2022,  186 
27/09/2022,  131 
28/09/2022,  245 
29/09/2022,  185 
30/09/2022,  207 
01/10/2022,  214 
02/10/2022,  190 
03/10/2022,  104 
04/10/2022,  266 
05/10/2022,  105 
06/10/2022,  167 
07/10/2022,  92 
08/10/2022,  270 
09/10/2022,  252 
10/10/2022,  222 
11/10/2022,  136 
12/10/2022,  198 
