Date,Quantity
01/04/2022,"  104,135 "
02/04/2022,"  142,706 "
03/04/2022,"  143,636 "
04/04/2022,"  139,993 "
05/04/2022,"  146,361 "
06/04/2022,"  158,436 "
07/04/2022,"  152,440 "
08/04/2022,"  154,426 "
09/04/2022,"  117,160 "
10/04/2022,"  124,760 "
11/04/2022,"  99,495 "
12/04/2022,"  130,808 "
13/04/2022,"  90,500 "
14/04/2022,"  96,889 "
15/04/2022,"  113,745 "
16/04/2022,"  110,131 "
17/04/2022,"  83,859 "
18/04/2022,"  110,561 "
19/04/2022,"  111,931 "
20/04/2022,"  102,216 "
21/04/2022,"  122,937 "
22/04/2022,"  119,180 "
23/04/2022,"  135,011 "
24/04/2022,"  110,587 "
25/04/2022,"  101,910 "
26/04/2022,"  102,955 "
27/04/2022,"  98,042 "
28/04/2022,"  88,714 "
29/04/2022,"  158,862 "
30/04/2022,"  192,312 "
01/05/2022,"  168,060 "
02/05/2022,"  125,624 "
03/05/2022,"  127,289 "
04/05/2022,"  141,471 "
05/05/2022,"  90,390 "
06/05/2022,"  146,115 "
07/05/2022,"  122,411 "
08/05/2022,"  123,296 "
09/05/2022,"  130,676 "
10/05/2022,"  133,053 "
11/05/2022,"  121,813 "
12/05/2022,"  111,248 "
13/05/2022,"  142,892 "
14/05/2022,"  106,204 "
15/05/2022,"  123,776 "
16/05/2022,"  115,297 "
17/05/2022,"  93,795 "
18/05/2022,"  107,299 "
19/05/2022,"  148,153 "
20/05/2022,"  150,012 "
21/05/2022,"  99,586 "
22/05/2022,"  92,949 "
23/05/2022,"  108,998 "
24/05/2022,"  161,316 "
25/05/2022,"  166,340 "
26/05/2022,"  94,782 "
27/05/2022,"  153,359 "
28/05/2022,"  107,113 "
29/05/2022,"  124,935 "
30/05/2022,"  114,796 "
31/05/2022,"  172,439 "
01/06/2022,"  204,062 "
02/06/2022,"  165,704 "
03/06/2022,"  165,212 "
04/06/2022,"  171,444 "
05/06/2022,"  156,336 "
06/06/2022,"  147,754 "
07/06/2022,"  184,482 "
08/06/2022,"  188,675 "
09/06/2022,"  185,162 "
10/06/2022,"  190,154 "
11/06/2022,"  198,596 "
12/06/2022,"  153,796 "
13/06/2022,"  181,511 "
14/06/2022,"  163,241 "
15/06/2022,"  188,668 "
16/06/2022,"  205,881 "
17/06/2022,"  139,818 "
18/06/2022,"  138,248 "
19/06/2022,"  176,727 "
20/06/2022,"  158,997 "
21/06/2022,"  165,385 "
22/06/2022,"  188,707 "
23/06/2022,"  161,347 "
24/06/2022,"  145,660 "
25/06/2022,"  146,467 "
26/06/2022,"  162,938 "
27/06/2022,"  132,185 "
28/06/2022,"  160,252 "
29/06/2022,"  198,439 "
30/06/2022,"  165,313 "
01/07/2022,"  178,414 "
02/07/2022,"  159,839 "
03/07/2022,"  145,511 "
04/07/2022,"  149,839 "
05/07/2022,"  143,458 "
06/07/2022,"  131,000 "
07/07/2022,"  151,065 "
08/07/2022,"  110,211 "
09/07/2022,"  123,408 "
10/07/2022,"  162,214 "
11/07/2022,"  125,508 "
12/07/2022,"  120,278 "
13/07/2022,"  152,014 "
14/07/2022,"  134,841 "
15/07/2022,"  102,881 "
16/07/2022,"  105,658 "
17/07/2022,"  114,691 "
18/07/2022,"  142,458 "
19/07/2022,"  103,758 "
20/07/2022,"  168,117 "
21/07/2022,"  144,188 "
22/07/2022,"  131,050 "
