Date,Quantity,Like ,Cmt,Share,weather,BA,PI,CS,PQ,PP,AC,PC
01/04/2022,  104.135 ,0,0,0,1,2.00,4.33,4.00,4.00,3.33,4.33,3.67
02/04/2022,  142.706 ,0,0,0,1,1.50,2.33,3.00,2.67,1.33,2.67,2.00
03/04/2022,  143.636 ,0,0,0,1,1.50,1.00,3.00,1.67,2.33,3.00,2.33
04/04/2022,  139.993 ,0,0,0,1,2.00,2.33,4.33,4.33,2.33,5.00,3.67
05/04/2022,  146.361 ,0,0,0,1,3.00,3.67,3.00,3.00,3.00,5.00,5.00
06/04/2022,  158.436 ,0,0,0,1,2.00,3.00,3.00,4.33,4.00,4.00,5.00
07/04/2022,  152.440 ,0,0,0,1,2.50,3.33,4.00,4.00,4.00,3.67,3.67
08/04/2022,  154.426 ,0,0,0,1,2.50,4.00,4.00,4.00,3.67,3.67,3.33
09/04/2022,  117.160 ,0,0,0,1,2.00,1.67,3.00,3.67,3.67,3.67,2.00
10/04/2022,  124.760 ,0,0,0,1,1.50,2.67,3.00,3.67,1.33,4.00,3.00
11/04/2022,  99.495 ,0,0,0,1,2.00,4.00,4.33,4.33,2.00,4.67,3.00
12/04/2022,  130.808 ,0,0,0,1,2.50,3.67,4.00,4.67,3.00,5.00,3.00
13/04/2022,  90.500 ,0,0,0,1,3.00,4.00,4.33,4.33,4.67,5.00,4.00
14/04/2022,  96.889 ,0,0,0,1,2.50,4.67,4.67,4.33,3.00,4.67,2.00
15/04/2022,  113.745 ,0,0,0,1,2.50,2.67,4.00,3.00,3.00,4.00,3.33
16/04/2022,  110.131 ,0,0,0,1,2.00,4.00,4.33,2.33,5.00,5.00,4.00
17/04/2022,  83.859 ,0,0,0,1,2.50,3.00,3.33,3.00,3.00,3.00,3.00
18/04/2022,  110.561 ,96,9,3,1,2.00,3.67,3.33,3.33,2.67,5.00,3.00
19/04/2022,  111.931 ,531,46,5,1,2.00,3.67,3.33,3.67,2.67,4.00,3.67
20/04/2022,  102.216 ,531,46,5,1,3.00,3.67,4.67,4.33,4.67,4.67,4.00
21/04/2022,  122.937 ,531,46,5,0,2.00,1.67,3.00,3.33,2.33,3.67,2.00
22/04/2022,  119.180 ,531,46,5,0,2.50,2.67,3.67,4.67,2.33,4.67,4.33
23/04/2022,  135.011 ,531,46,5,1,2.50,3.67,4.33,4.33,4.00,4.67,4.00
24/04/2022,  110.587 ,531,46,5,1,2.50,3.67,4.00,4.00,3.67,4.67,4.00
25/04/2022,  101.910 ,531,46,5,1,2.50,2.67,3.00,4.00,3.00,4.00,4.00
26/04/2022,  102.955 ,531,46,5,1,2.50,3.67,4.00,3.33,3.00,4.00,4.00
27/04/2022,  98.042 ,531,46,5,1,1.00,1.00,1.33,2.00,1.00,4.33,1.00
28/04/2022,  88.714 ,2231,1846,134,0,2.50,4.00,4.33,4.33,2.33,4.00,4.00
29/04/2022,  158.862 ,1700,1800,129,1,1.50,1.00,2.00,3.33,3.67,4.33,1.33
30/04/2022,  192.312 ,0,0,0,1,2.50,3.67,3.33,3.67,3.67,3.33,3.67
01/05/2022,  168.060 ,0,0,0,1,2.00,3.00,3.33,3.00,2.67,4.00,1.00
02/05/2022,  125.624 ,0,0,0,1,2.50,3.33,3.33,3.67,4.00,3.67,1.67
03/05/2022,  127.289 ,0,0,0,1,2.00,3.33,3.33,3.67,3.67,3.67,3.67
04/05/2022,  141.471 ,0,0,0,1,2.50,3.67,4.00,5.00,2.67,5.00,4.67
05/05/2022,  90.390 ,0,0,0,1,2.00,3.33,4.00,4.00,3.67,5.00,3.00
06/05/2022,  146.115 ,0,0,0,1,2.00,2.33,3.00,3.00,3.00,3.00,3.00
07/05/2022,  122.411 ,0,0,0,0,1.50,1.67,3.00,1.67,2.33,4.67,3.00
08/05/2022,  123.296 ,0,0,0,1,1.50,2.67,2.67,3.67,2.00,3.67,3.33
09/05/2022,  130.676 ,0,0,0,1,2.00,2.67,4.00,3.67,1.67,5.00,5.00
10/05/2022,  133.053 ,0,0,0,1,2.00,3.00,4.00,4.00,4.00,4.67,3.33
11/05/2022,  121.813 ,0,0,0,1,2.00,4.33,3.67,4.67,3.67,4.33,5.00
12/05/2022,  111.248 ,0,0,0,1,1.50,2.00,3.00,3.33,2.67,5.00,4.33
13/05/2022,  142.892 ,0,0,0,1,2.00,3.33,3.67,3.00,2.33,3.33,3.33
14/05/2022,  106.204 ,0,0,0,1,1.50,1.00,1.00,1.67,1.67,2.00,1.67
15/05/2022,  123.776 ,0,0,0,1,1.00,1.00,2.33,2.67,3.00,4.00,3.33
16/05/2022,  115.297 ,0,0,0,1,1.00,2.00,2.00,1.33,2.33,3.33,1.00
17/05/2022,  93.795 ,0,0,0,1,2.50,2.00,3.67,3.00,3.33,3.67,3.33
18/05/2022,  107.299 ,0,0,0,1,2.00,3.67,3.67,4.00,3.67,4.33,3.67
19/05/2022,  148.153 ,0,0,0,1,2.50,1.67,3.00,3.00,3.00,4.00,3.00
20/05/2022,  150.012 ,0,0,0,1,2.50,1.00,2.67,2.00,1.33,3.67,2.00
21/05/2022,  99.586 ,0,0,0,1,1.00,4.00,4.33,3.33,2.67,5.00,5.00
22/05/2022,  92.949 ,0,0,0,1,2.50,3.67,5.00,4.33,3.67,5.00,2.67
23/05/2022,  108.998 ,0,0,0,1,3.00,4.33,4.33,5.00,3.33,4.00,3.33
24/05/2022,  161.316 ,0,0,0,1,1.50,1.67,1.67,2.67,1.67,4.33,2.00
25/05/2022,  166.340 ,232,54,12,1,1.50,2.67,3.67,3.67,3.67,4.00,1.33
26/05/2022,  94.782 ,232,54,12,1,3.00,4.33,4.00,4.67,4.00,4.67,5.00
27/05/2022,  153.359 ,232,54,12,1,2.00,3.67,4.00,3.33,3.00,3.67,3.33
28/05/2022,  107.113 ,232,54,12,1,2.50,2.67,4.00,4.67,2.33,4.33,3.67
29/05/2022,  124.935 ,232,54,12,1,1.50,3.00,4.33,2.67,3.00,4.67,4.67
30/05/2022,  114.796 ,232,54,12,1,2.50,3.33,3.67,4.67,3.67,4.00,4.67
31/05/2022,  172.439 ,232,54,12,1,1.50,2.33,2.00,3.67,2.33,2.67,2.33
01/06/2022,  204.062 ,0,0,0,1,2.00,2.33,3.67,3.00,2.67,5.00,5.00
02/06/2022,  165.704 ,0,0,0,1,2.50,3.33,3.67,3.67,3.33,4.67,5.00
03/06/2022,  165.212 ,0,0,0,1,1.50,1.67,2.00,3.00,1.00,5.00,5.00
04/06/2022,  171.444 ,0,0,0,1,1.50,2.67,2.33,3.00,2.33,4.00,3.67
