Date,Quantity
01/04/2022,"  12,720 "
02/04/2022,"  15,010 "
03/04/2022,"  7,260 "
04/04/2022,"  14,060 "
05/04/2022,"  16,030 "
06/04/2022,"  15,500 "
07/04/2022,"  18,620 "
08/04/2022,"  8,910 "
09/04/2022,"  12,110 "
10/04/2022,"  14,070 "
11/04/2022,"  12,570 "
12/04/2022,"  17,160 "
13/04/2022,"  18,510 "
14/04/2022,"  19,400 "
15/04/2022,"  14,710 "
16/04/2022,"  17,190 "
17/04/2022,"  11,020 "
18/04/2022,"  10,080 "
19/04/2022,"  15,990 "
20/04/2022,"  18,550 "
21/04/2022,"  18,790 "
22/04/2022,"  11,640 "
23/04/2022,"  9,140 "
24/04/2022,"  10,140 "
25/04/2022,"  13,980 "
26/04/2022,"  15,000 "
27/04/2022,"  12,430 "
28/04/2022,"  19,540 "
29/04/2022,"  22,770 "
30/04/2022,"  27,450 "
01/05/2022,"  24,330 "
02/05/2022,"  13,590 "
03/05/2022,"  16,500 "
04/05/2022,"  15,970 "
05/05/2022,"  17,570 "
06/05/2022,"  8,100 "
07/05/2022,"  14,580 "
08/05/2022,"  10,680 "
09/05/2022,"  13,430 "
10/05/2022,"  17,120 "
11/05/2022,"  15,920 "
12/05/2022,"  17,450 "
13/05/2022,"  19,890 "
14/05/2022,"  9,430 "
15/05/2022,"  16,270 "
16/05/2022,"  13,100 "
17/05/2022,"  10,590 "
18/05/2022,"  16,980 "
19/05/2022,"  18,750 "
20/05/2022,"  11,370 "
21/05/2022,"  13,060 "
22/05/2022,"  10,070 "
23/05/2022,"  12,400 "
24/05/2022,"  9,530 "
25/05/2022,"  11,980 "
26/05/2022,"  12,560 "
27/05/2022,"  17,400 "
28/05/2022,"  15,640 "
29/05/2022,"  14,230 "
30/05/2022,"  9,920 "
31/05/2022,"  17,270 "
01/06/2022,"  12,830 "
02/06/2022,"  13,010 "
03/06/2022,"  16,610 "
04/06/2022,"  23,150 "
05/06/2022,"  22,400 "
06/06/2022,"  22,380 "
07/06/2022,"  15,140 "
08/06/2022,"  17,310 "
09/06/2022,"  18,360 "
10/06/2022,"  29,720 "
11/06/2022,"  24,930 "
12/06/2022,"  15,680 "
13/06/2022,"  10,370 "
14/06/2022,"  11,490 "
15/06/2022,"  16,420 "
16/06/2022,"  18,200 "
17/06/2022,"  15,310 "
18/06/2022,"  18,090 "
19/06/2022,"  17,760 "
20/06/2022,"  29,320 "
21/06/2022,"  25,920 "
22/06/2022,"  19,300 "
23/06/2022,"  10,940 "
24/06/2022,"  23,300 "
25/06/2022,"  24,300 "
26/06/2022,"  16,780 "
27/06/2022,"  15,690 "
28/06/2022,"  13,080 "
29/06/2022,"  18,550 "
30/06/2022,"  20,260 "
01/07/2022,"  17,070 "
02/07/2022,"  15,344 "
03/07/2022,"  29,095 "
04/07/2022,"  12,486 "
05/07/2022,"  30,046 "
06/07/2022,"  23,248 "
07/07/2022,"  16,679 "
08/07/2022,"  14,673 "
09/07/2022,"  22,370 "
10/07/2022,"  31,574 "
11/07/2022,"  18,849 "
12/07/2022,"  32,959 "
13/07/2022,"  12,558 "
14/07/2022,"  14,857 "
15/07/2022,"  14,697 "
16/07/2022,"  25,886 "
17/07/2022,"  16,183 "
18/07/2022,"  12,044 "
19/07/2022,"  12,620 "
20/07/2022,"  21,363 "
21/07/2022,"  32,403 "
22/07/2022,"  19,501 "
23/07/2022,"  31,582 "
24/07/2022,"  14,127 "
25/07/2022,"  27,460 "
26/07/2022,"  31,474 "
27/07/2022,"  29,754 "
28/07/2022,"  29,911 "
29/07/2022,"  32,117 "
30/07/2022,"  25,940 "
31/07/2022,"  20,834 "
01/08/2022,"  21,985 "
02/08/2022,"  19,151 "
03/08/2022,"  24,870 "
04/08/2022,"  32,315 "
05/08/2022,"  19,097 "
06/08/2022,"  18,461 "
07/08/2022,"  21,842 "
08/08/2022,"  32,595 "
09/08/2022,"  27,587 "
10/08/2022,"  15,780 "
11/08/2022,"  15,940 "
12/08/2022,"  30,804 "
13/08/2022,"  34,636 "
14/08/2022,"  32,890 "
15/08/2022,"  18,236 "
16/08/2022,"  34,685 "
17/08/2022,"  32,485 "
18/08/2022,"  26,573 "
19/08/2022,"  25,158 "
20/08/2022,"  20,872 "
21/08/2022,"  28,433 "
22/08/2022,"  26,091 "
23/08/2022,"  16,231 "
24/08/2022,"  24,972 "
25/08/2022,"  27,615 "
26/08/2022,"  13,513 "
27/08/2022,"  27,214 "
28/08/2022,"  24,185 "
29/08/2022,"  19,473 "
30/08/2022,"  28,477 "
31/08/2022,"  29,727 "
01/09/2022,"  25,782 "
02/09/2022,"  38,499 "
03/09/2022,"  21,122 "
04/09/2022,"  25,475 "
05/09/2022,"  24,466 "
06/09/2022,"  28,675 "
07/09/2022,"  18,000 "
08/09/2022,"  26,892 "
09/09/2022,"  28,897 "
10/09/2022,"  28,261 "
11/09/2022,"  29,728 "
12/09/2022,"  21,819 "
13/09/2022,"  19,071 "
14/09/2022,"  24,665 "
15/09/2022,"  25,171 "
16/09/2022,"  23,962 "
17/09/2022,"  26,376 "
18/09/2022,"  23,569 "
19/09/2022,"  23,006 "
20/09/2022,"  19,342 "
21/09/2022,"  23,619 "
22/09/2022,"  29,845 "
23/09/2022,"  22,517 "
24/09/2022,"  19,313 "
25/09/2022,"  20,171 "
26/09/2022,"  18,768 "
27/09/2022,"  15,927 "
28/09/2022,"  28,794 "
29/09/2022,"  29,546 "
30/09/2022,"  25,618 "
01/10/2022,"  22,801 "
02/10/2022,"  25,792 "
03/10/2022,"  22,376 "
04/10/2022,"  33,242 "
05/10/2022,"  28,961 "
06/10/2022,"  16,616 "
07/10/2022,"  19,875 "
08/10/2022,"  18,697 "
09/10/2022,"  29,934 "
10/10/2022,"  26,932 "
11/10/2022,"  28,116 "
12/10/2022,"  17,887 "
13/10/2022,"  26,756 "
14/10/2022,"  21,204 "
15/10/2022,"  27,479 "
16/10/2022,"  15,510 "
17/10/2022,"  27,650 "
18/10/2022,"  24,832 "
19/10/2022,"  20,873 "
20/10/2022,"  39,318 "
21/10/2022,"  29,794 "
22/10/2022,"  22,340 "
23/10/2022,"  19,368 "
24/10/2022,"  20,048 "
25/10/2022,"  28,852 "
26/10/2022,"  35,996 "
27/10/2022,"  26,805 "
28/10/2022,"  28,395 "
29/10/2022,"  27,992 "
30/10/2022,"  22,830 "
31/10/2022,"  25,995 "
01/11/2022,"  25,698 "
02/11/2022,"  22,881 "
03/11/2022,"  36,721 "
04/11/2022,"  25,040 "
05/11/2022,"  27,744 "
06/11/2022,"  23,102 "
07/11/2022,"  24,499 "
08/11/2022,"  21,899 "
09/11/2022,"  28,357 "
10/11/2022,"  32,384 "
11/11/2022,"  19,084 "
12/11/2022,"  31,874 "
13/11/2022,"  27,191 "
14/11/2022,"  28,436 "
15/11/2022,"  29,149 "
16/11/2022,"  26,660 "
17/11/2022,"  29,624 "
18/11/2022,"  39,016 "
19/11/2022,"  20,480 "
20/11/2022,"  26,909 "
21/11/2022,"  21,619 "
22/11/2022,"  23,327 "
23/11/2022,"  27,802 "
24/11/2022,"  33,660 "
25/11/2022,"  29,255 "
26/11/2022,"  31,390 "
27/11/2022,"  27,642 "
28/11/2022,"  21,458 "
29/11/2022,"  28,687 "
30/11/2022,"  41,360 "
01/12/2022,"  26,013 "
02/12/2022,"  27,675 "
03/12/2022,"  37,705 "
04/12/2022,"  36,934 "
05/12/2022,"  41,685 "
06/12/2022,"  31,687 "
07/12/2022,"  28,045 "
08/12/2022,"  25,812 "
09/12/2022,"  24,047 "
10/12/2022,"  34,789 "
11/12/2022,"  30,080 "
12/12/2022,"  31,795 "
13/12/2022,"  28,040 "
14/12/2022,"  36,840 "
15/12/2022,"  36,758 "
16/12/2022,"  28,439 "
17/12/2022,"  35,601 "
18/12/2022,"  34,917 "
19/12/2022,"  36,426 "
20/12/2022,"  37,340 "
21/12/2022,"  24,343 "
22/12/2022,"  28,351 "
23/12/2022,"  24,962 "
24/12/2022,"  47,891 "
25/12/2022,"  32,128 "
26/12/2022,"  29,043 "
27/12/2022,"  39,405 "
28/12/2022,"  25,180 "
29/12/2022,"  29,173 "
30/12/2022,"  30,079 "
31/12/2022,"  29,420 "
01/01/2023,"  45,190 "
02/01/2023,"  37,135 "
03/01/2023,"  39,644 "
04/01/2023,"  35,962 "
05/01/2023,"  33,542 "
06/01/2023,"  39,410 "
07/01/2023,"  30,287 "
08/01/2023,"  36,568 "
09/01/2023,"  36,570 "
10/01/2023,"  40,144 "
11/01/2023,"  36,257 "
12/01/2023,"  39,277 "
13/01/2023,"  46,449 "
14/01/2023,"  45,496 "
15/01/2023,"  28,612 "
16/01/2023,"  43,886 "
17/01/2023,"  49,597 "
18/01/2023,"  30,611 "
19/01/2023,"  33,352 "
20/01/2023,"  35,355 "
21/01/2023,"  36,981 "
22/01/2023,"  35,059 "
23/01/2023,"  47,170 "
24/01/2023,"  42,165 "
25/01/2023,"  36,557 "
26/01/2023,"  31,431 "
27/01/2023,"  33,585 "
28/01/2023,"  36,818 "
29/01/2023,"  42,236 "
30/01/2023,"  32,906 "
31/01/2023,"  29,794 "
01/02/2023,"  28,810 "
02/02/2023,"  35,450 "
03/02/2023,"  29,580 "
04/02/2023,"  33,190 "
05/02/2023,"  46,550 "
06/02/2023,"  43,130 "
07/02/2023,"  41,640 "
08/02/2023,"  29,950 "
09/02/2023,"  44,540 "
10/02/2023,"  45,200 "
11/02/2023,"  49,790 "
12/02/2023,"  38,030 "
13/02/2023,"  40,640 "
14/02/2023,"  47,150 "
15/02/2023,"  34,820 "
16/02/2023,"  39,170 "
17/02/2023,"  32,510 "
18/02/2023,"  45,570 "
19/02/2023,"  42,080 "
20/02/2023,"  41,620 "
21/02/2023,"  49,400 "
22/02/2023,"  46,950 "
23/02/2023,"  49,320 "
24/02/2023,"  42,060 "
25/02/2023,"  39,970 "
26/02/2023,"  45,350 "
27/02/2023,"  33,520 "
28/02/2023,"  46,000 "
01/03/2023,"  32,790 "
02/03/2023,"  40,370 "
03/03/2023,"  33,430 "
04/03/2023,"  36,010 "
05/03/2023,"  38,450 "
06/03/2023,"  47,450 "
07/03/2023,"  42,580 "
08/03/2023,"  41,010 "
09/03/2023,"  45,780 "
10/03/2023,"  32,200 "
11/03/2023,"  33,060 "
12/03/2023,"  41,910 "
13/03/2023,"  31,180 "
14/03/2023,"  30,220 "
15/03/2023,"  38,350 "
16/03/2023,"  33,010 "
17/03/2023,"  50,780 "
18/03/2023,"  44,530 "
19/03/2023,"  46,780 "
20/03/2023,"  40,740 "
21/03/2023,"  45,810 "
22/03/2023,"  30,220 "
23/03/2023,"  35,390 "
24/03/2023,"  40,880 "
25/03/2023,"  35,950 "
26/03/2023,"  43,340 "
27/03/2023,"  31,750 "
28/03/2023,"  46,050 "
29/03/2023,"  40,750 "
30/03/2023,"  42,510 "
31/03/2023,"  46,150 "
01/04/2023,"  36,740 "
02/04/2023,"  39,750 "
03/04/2023,"  39,690 "
04/04/2023,"  42,020 "
05/04/2023,"  33,100 "
06/04/2023,"  34,010 "
07/04/2023,"  33,920 "
08/04/2023,"  41,830 "
09/04/2023,"  41,970 "
10/04/2023,"  38,150 "
11/04/2023,"  44,000 "
12/04/2023,"  49,470 "
13/04/2023,"  45,150 "
14/04/2023,"  48,380 "
15/04/2023,"  52,080 "
16/04/2023,"  50,880 "
17/04/2023,"  50,600 "
18/04/2023,"  52,010 "
19/04/2023,"  42,740 "
20/04/2023,"  47,680 "
21/04/2023,"  33,180 "
22/04/2023,"  34,200 "
23/04/2023,"  43,960 "
24/04/2023,"  39,880 "
25/04/2023,"  41,810 "
26/04/2023,"  45,690 "
27/04/2023,"  52,120 "
28/04/2023,"  44,570 "
29/04/2023,"  43,150 "
30/04/2023,"  42,300 "
01/05/2023,"  45,100 "
02/05/2023,"  36,400 "
03/05/2023,"  46,200 "
04/05/2023,"  42,300 "
05/05/2023,"  50,300 "
06/05/2023,"  43,500 "
07/05/2023,"  41,500 "
08/05/2023,"  40,700 "
09/05/2023,"  39,700 "
10/05/2023,"  42,700 "
11/05/2023,"  46,400 "
12/05/2023,"  48,200 "
13/05/2023,"  41,930 "
14/05/2023,"  37,900 "
15/05/2023,"  53,700 "
16/05/2023,"  42,700 "
17/05/2023,"  47,100 "
18/05/2023,"  53,000 "
19/05/2023,"  46,700 "
20/05/2023,"  40,200 "
21/05/2023,"  39,500 "
22/05/2023,"  38,400 "
23/05/2023,"  43,000 "
24/05/2023,"  39,700 "
25/05/2023,"  40,600 "
26/05/2023,"  42,900 "
27/05/2023,"  45,600 "
28/05/2023,"  46,300 "
29/05/2023,"  46,700 "
30/05/2023,"  48,700 "
31/05/2023,"  46,900 "
01/06/2023,"  51,600 "
02/06/2023,"  51,300 "
03/06/2023,"  45,900 "
04/06/2023,"  37,400 "
05/06/2023,"  48,500 "
06/06/2023,"  50,200 "
07/06/2023,"  48,500 "
08/06/2023,"  44,300 "
09/06/2023,"  49,900 "
10/06/2023,"  40,500 "
11/06/2023,"  43,400 "
12/06/2023,"  41,300 "
13/06/2023,"  45,500 "
14/06/2023,"  50,700 "
15/06/2023,"  47,400 "
16/06/2023,"  56,100 "
17/06/2023,"  49,500 "
18/06/2023,"  58,600 "
19/06/2023,"  46,700 "
20/06/2023,"  47,600 "
21/06/2023,"  49,200 "
22/06/2023,"  45,100 "
23/06/2023,"  40,600 "
24/06/2023,"  45,600 "
25/06/2023,"  37,700 "
26/06/2023,"  43,800 "
27/06/2023,"  46,400 "
28/06/2023,"  44,700 "
29/06/2023,"  49,300 "
30/06/2023,"  52,900 "
01/07/2023,"  42,500 "
02/07/2023,"  44,500 "
03/07/2023,"  46,700 "
04/07/2023,"  44,000 "
05/07/2023,"  48,200 "
06/07/2023,"  43,700 "
07/07/2023,"  45,100 "
08/07/2023,"  47,000 "
09/07/2023,"  63,000 "
10/07/2023,"  44,000 "
11/07/2023,"  44,100 "
12/07/2023,"  40,500 "
13/07/2023,"  49,700 "
14/07/2023,"  51,700 "
15/07/2023,"  50,800 "
16/07/2023,"  45,500 "
17/07/2023,"  38,400 "
18/07/2023,"  48,600 "
19/07/2023,"  44,700 "
20/07/2023,"  47,800 "
21/07/2023,"  39,200 "
22/07/2023,"  39,400 "
23/07/2023,"  47,800 "
24/07/2023,"  51,100 "
25/07/2023,"  48,600 "
26/07/2023,"  52,500 "
27/07/2023,"  49,100 "
28/07/2023,"  46,900 "
29/07/2023,"  43,600 "
30/07/2023,"  42,900 "
31/07/2023,"  47,000 "
01/08/2023,"  45,300 "
02/08/2023,"  53,000 "
03/08/2023,"  54,300 "
04/08/2023,"  53,800 "
05/08/2023,"  50,500 "
06/08/2023,"  50,500 "
07/08/2023,"  52,200 "
08/08/2023,"  49,000 "
09/08/2023,"  49,300 "
10/08/2023,"  52,100 "
11/08/2023,"  52,200 "
12/08/2023,"  48,400 "
13/08/2023,"  54,600 "
14/08/2023,"  52,500 "
15/08/2023,"  52,300 "
16/08/2023,"  48,200 "
17/08/2023,"  51,100 "
18/08/2023,"  50,100 "
19/08/2023,"  49,100 "
20/08/2023,"  54,800 "
21/08/2023,"  54,100 "
22/08/2023,"  50,600 "
23/08/2023,"  49,200 "
24/08/2023,"  52,900 "
25/08/2023,"  49,500 "
26/08/2023,"  51,700 "
27/08/2023,"  51,700 "
28/08/2023,"  53,400 "
29/08/2023,"  48,100 "
30/08/2023,"  51,200 "
31/08/2023,"  54,500 "
01/09/2023,"  66,380 "
02/09/2023,"  68,540 "
03/09/2023,"  69,700 "
04/09/2023,"  57,500 "
05/09/2023,"  43,140 "
06/09/2023,"  41,940 "
07/09/2023,"  42,800 "
08/09/2023,"  35,720 "
09/09/2023,"  42,560 "
10/09/2023,"  54,640 "
11/09/2023,"  44,340 "
12/09/2023,"  42,240 "
13/09/2023,"  42,240 "
14/09/2023,"  38,160 "
15/09/2023,"  39,100 "
16/09/2023,"  44,620 "
17/09/2023,"  44,180 "
18/09/2023,"  36,040 "
19/09/2023,"  39,600 "
20/09/2023,"  40,220 "
21/09/2023,"  34,740 "
22/09/2023,"  36,760 "
23/09/2023,"  43,560 "
24/09/2023,"  43,080 "
25/09/2023,"  31,440 "
26/09/2023,"  31,880 "
27/09/2023,"  35,260 "
28/09/2023,"  35,020 "
29/09/2023,"  49,940 "
30/09/2023,"  39,600 "
01/10/2023,"  39,060 "
02/10/2023,"  36,060 "
03/10/2023,"  32,800 "
04/10/2023,"  32,080 "
05/10/2023,"  34,260 "
06/10/2023,"  32,260 "
07/10/2023,"  40,400 "
08/10/2023,"  46,180 "
09/10/2023,"  34,120 "
10/10/2023,"  33,940 "
11/10/2023,"  35,940 "
12/10/2023,"  35,800 "
13/10/2023,"  52,340 "
14/10/2023,"  53,640 "
15/10/2023,"  58,760 "
16/10/2023,"  58,980 "
17/10/2023,"  57,040 "
18/10/2023,"  56,260 "
19/10/2023,"  47,520 "
20/10/2023,"  52,140 "
21/10/2023,"  41,420 "
22/10/2023,"  51,600 "
23/10/2023,"  79,040 "
24/10/2023,"  55,100 "
25/10/2023,"  61,340 "
26/10/2023,"  60,980 "
27/10/2023,"  57,540 "
28/10/2023,"  57,200 "
29/10/2023,"  61,580 "
30/10/2023,"  63,860 "
31/10/2023,"  61,740 "
01/11/2023,"  66,020 "
02/11/2023,"  65,860 "
03/11/2023,"  65,440 "
04/11/2023,"  60,160 "
05/11/2023,"  63,420 "
06/11/2023,"  68,900 "
07/11/2023,"  65,640 "
08/11/2023,"  63,400 "
09/11/2023,"  66,200 "
10/11/2023,"  67,920 "
11/11/2023,"  57,660 "
12/11/2023,"  56,340 "
